[MISSING] POST /api/admin/email-campaigns | POST | 404 | 922ms
[MISSING] POST /api/admin/email-templates | POST | 404 | 1012ms
[MISSING] POST /api/admin/env | POST | 404 | 867ms
[MISSING] POST /api/admin/error-logs | POST | 404 | 895ms
[MISSING] POST /api/admin/feed-management | POST | 404 | 927ms
[MISSING] PUT /api/admin/crawler | PUT | 404 | 890ms
[MISSING] PUT /api/admin/crawler/test | PUT | 404 | 980ms
[MISSING] PUT /api/admin/daily-report | PUT | 404 | 909ms
[MISSING] POST /api/admin/forecast | POST | 404 | 864ms
[MISSING] PUT /api/admin/db-backup | PUT | 404 | 879ms
[MISSING] PUT /api/admin/email-campaigns | PUT | 404 | 883ms
[MISSING] PUT /api/admin/env | PUT | 404 | 855ms
[MISSING] PUT /api/admin/email-templates | PUT | 404 | 1007ms
[MISSING] PUT /api/admin/error-logs | PUT | 404 | 911ms
[MISSING] PUT /api/admin/feed-management | PUT | 404 | 857ms
[MISSING] DELETE /api/admin/crawler | DELETE | 404 | 881ms
[MISSING] DELETE /api/admin/crawler/test | DELETE | 404 | 908ms
[MISSING] DELETE /api/admin/daily-report | DELETE | 404 | 866ms
[MISSING] PUT /api/admin/forecast | PUT | 404 | 899ms
[MISSING] DELETE /api/admin/db-backup | DELETE | 404 | 887ms
[MISSING] DELETE /api/admin/email-campaigns | DELETE | 404 | 940ms
[MISSING] DELETE /api/admin/env | DELETE | 404 | 935ms
[MISSING] DELETE /api/admin/email-templates | DELETE | 404 | 876ms
[MISSING] DELETE /api/admin/error-logs | DELETE | 404 | 905ms
[MISSING] DELETE /api/admin/feed-management | DELETE | 404 | 925ms
[MISSING] DELETE /api/admin/forecast | DELETE | 404 | 936ms
[MISSING] POST /api/admin/funnel | POST | 404 | 853ms
[MISSING] POST /api/admin/giftcards | POST | 404 | 902ms
[MISSING] POST /api/admin/health-metrics | POST | 404 | 900ms
[MISSING] POST /api/admin/health-monitor | POST | 404 | 1047ms
[MISSING] POST /api/admin/key-tester | POST | 404 | 895ms
[MISSING] POST /api/admin/inventory-predict | POST | 404 | 901ms
[MISSING] POST /api/admin/live | POST | 404 | 986ms
[MISSING] PUT /api/admin/funnel | PUT | 404 | 942ms
[MISSING] PUT /api/admin/giftcards | PUT | 404 | 892ms
[MISSING] POST /api/admin/live-users | POST | 404 | 910ms
[MISSING] PUT /api/admin/health-metrics | PUT | 404 | 846ms
[MISSING] PUT /api/admin/health-monitor | PUT | 404 | 873ms
[MISSING] POST /api/admin/generate-description | POST | 404 | 2634ms
[MISSING] PUT /api/admin/inventory-predict | PUT | 404 | 828ms
[MISSING] PUT /api/admin/key-tester | PUT | 404 | 980ms
[MISSING] PUT /api/admin/live | PUT | 404 | 855ms
[MISSING] DELETE /api/admin/funnel | DELETE | 404 | 953ms
[MISSING] DELETE /api/admin/giftcards | DELETE | 404 | 904ms
[MISSING] DELETE /api/admin/health-metrics | DELETE | 404 | 871ms
[MISSING] PUT /api/admin/live-users | PUT | 404 | 946ms
[MISSING] POST /api/admin/inventory-forecast | POST | 404 | 855ms
[MISSING] DELETE /api/admin/health-monitor | DELETE | 404 | 883ms
[MISSING] PUT /api/admin/generate-description | PUT | 404 | 912ms
[MISSING] DELETE /api/admin/inventory-predict | DELETE | 404 | 848ms
[MISSING] DELETE /api/admin/key-tester | DELETE | 404 | 872ms
[MISSING] DELETE /api/admin/live | DELETE | 404 | 933ms
[MISSING] DELETE /api/admin/live-users | DELETE | 404 | 926ms
[MISSING] PUT /api/admin/inventory-forecast | PUT | 404 | 870ms
[MISSING] DELETE /api/admin/generate-description | DELETE | 404 | 956ms
[MISSING] POST /api/admin/magic-link | POST | 404 | 1029ms
[MISSING] POST /api/admin/magic-link/verify | POST | 404 | 1004ms
[MISSING] DELETE /api/admin/inventory-forecast | DELETE | 404 | 961ms
[MISSING] POST /api/admin/music | POST | 404 | 982ms
[MISSING] POST /api/admin/orders | POST | 404 | 924ms
[MISSING] POST /api/admin/orders/test/invoice | POST | 404 | 897ms
[MISSING] POST /api/admin/orders/test | POST | 404 | 921ms
[MISSING] POST /api/admin/orders/export | POST | 404 | 860ms
[MISSING] PUT /api/admin/magic-link | PUT | 404 | 915ms
[MISSING] PUT /api/admin/magic-link/verify | PUT | 404 | 979ms
[MISSING] POST /api/admin/payouts | POST | 404 | 893ms
[MISSING] PUT /api/admin/music | PUT | 404 | 858ms
[MISSING] PUT /api/admin/orders | PUT | 404 | 969ms
[MISSING] POST /api/admin/pricing | POST | 404 | 961ms
[MISSING] PUT /api/admin/orders/test/invoice | PUT | 404 | 869ms
[MISSING] PUT /api/admin/orders/test | PUT | 404 | 895ms
[MISSING] PUT /api/admin/orders/export | PUT | 404 | 897ms
[MISSING] DELETE /api/admin/magic-link | DELETE | 404 | 911ms
[MISSING] DELETE /api/admin/magic-link/verify | DELETE | 404 | 1027ms
[MISSING] PUT /api/admin/payouts | PUT | 404 | 970ms
[MISSING] POST /api/admin/pricing/test | POST | 404 | 915ms
[MISSING] PUT /api/admin/pricing | PUT | 404 | 946ms
[MISSING] DELETE /api/admin/orders/test/invoice | DELETE | 404 | 876ms
[MISSING] DELETE /api/admin/orders/test | DELETE | 404 | 886ms
[MISSING] DELETE /api/admin/orders | DELETE | 404 | 1392ms
[MISSING] DELETE /api/admin/orders/export | DELETE | 404 | 980ms
[MISSING] DELETE /api/admin/payouts | DELETE | 404 | 888ms
[MISSING] PUT /api/admin/pricing/test | PUT | 404 | 950ms
[MISSING] DELETE /api/admin/music | DELETE | 404 | 2470ms
[MISSING] DELETE /api/admin/pricing | DELETE | 404 | 989ms
[MISSING] POST /api/admin/products | POST | 404 | 879ms
[MISSING] POST /api/admin/products/test | POST | 404 | 984ms
[MISSING] DELETE /api/admin/pricing/test | DELETE | 404 | 950ms
[MISSING] POST /api/admin/products/bulk | POST | 404 | 926ms
[MISSING] POST /api/admin/products/bulk/activate | POST | 404 | 992ms
[MISSING] POST /api/admin/products/bulk/price | POST | 404 | 938ms
[MISSING] POST /api/admin/products/bulk/price/by-category | POST | 404 | 939ms
[MISSING] PUT /api/admin/products | PUT | 404 | 1227ms
[MISSING] PUT /api/admin/products/test | PUT | 404 | 1206ms
[MISSING] POST /api/admin/products/bulk/restore | POST | 404 | 1180ms
[MISSING] POST /api/admin/products/stock | POST | 404 | 1004ms
[MISSING] PUT /api/admin/products/bulk/activate | PUT | 404 | 925ms
[MISSING] POST /api/admin/products/export | POST | 404 | 1170ms
[MISSING] PUT /api/admin/products/bulk | PUT | 404 | 1095ms
